Date,Open,High,Low,Close,Volume,Adj Close
2007-09-17,57.87,58.27,56.61,56.78,2646100,56.78
2007-09-14,56.99,58.50,56.60,57.91,3769200,57.91
2007-09-13,59.22,59.75,57.28,57.59,3692200,57.59
2007-09-12,57.38,60.50,57.38,58.37,7681900,58.37
2007-09-11,57.70,58.22,57.21,57.71,3210600,57.71
2007-09-10,57.60,58.17,56.22,57.60,4247000,57.60
2007-09-07,56.87,57.40,56.27,56.92,5721300,56.92
2007-09-06,57.10,58.45,56.16,58.40,5931400,58.40
2007-09-05,58.55,58.99,54.48,55.93,13276100,55.93
2007-09-04,58.30,59.97,58.30,59.46,3132400,59.46
2007-08-31,59.42,59.59,58.00,59.04,2911100,59.04
2007-08-30,58.24,59.00,57.54,58.18,3591100,58.18
2007-08-29,58.31,59.46,57.15,59.14,3989200,59.14
2007-08-28,59.25,59.38,56.59,57.29,5643800,57.29
2007-08-27,61.43,61.99,59.51,59.98,7967200,59.98
2007-08-24,56.36,59.13,55.36,58.99,5476200,58.99
2007-08-23,58.94,58.94,55.93,56.69,4457000,56.69
2007-08-22,59.58,60.00,56.57,58.13,6720200,58.13
2007-08-21,56.23,58.50,55.75,58.43,7647500,58.43
2007-08-20,52.75,56.36,52.25,56.13,9515000,56.13
2007-08-17,51.13,51.65,49.09,51.22,6835400,51.22
2007-08-16,46.51,48.00,44.10,47.40,9618800,47.40
2007-08-15,51.75,52.58,48.60,49.02,4596400,49.02
2007-08-14,51.61,53.00,50.80,51.96,5812200,51.96
2007-08-13,53.45,53.50,51.00,51.19,4878100,51.19
2007-08-10,50.25,52.19,47.01,50.35,8102000,50.35
2007-08-09,53.52,56.61,52.65,52.76,6022200,52.76
2007-08-08,58.42,59.00,55.93,56.28,5319000,56.28
2007-08-07,54.91,57.74,54.00,57.42,5278100,57.42
2007-08-06,58.71,59.40,52.50,55.13,9697200,55.13
2007-08-03,59.81,61.35,58.42,58.62,5260400,58.62
2007-08-02,59.48,60.57,58.80,60.32,5436900,60.32
2007-08-01,58.25,59.16,56.51,58.58,5907500,58.58
2007-07-31,58.77,60.83,58.32,59.32,11795800,59.32
2007-07-30,56.72,57.53,55.86,57.04,7376300,57.04
2007-07-27,59.21,59.71,54.22,55.42,21437500,55.42
2007-07-26,49.08,51.81,48.51,50.59,17100200,50.59
2007-07-25,49.25,49.30,47.85,49.25,6568800,49.25
2007-07-24,47.60,49.46,47.14,47.85,8026800,47.85
2007-07-23,45.95,48.45,45.90,48.45,7300800,48.45
2007-07-20,45.61,45.93,44.00,45.19,4347700,45.19
2007-07-19,47.01,47.05,45.75,45.90,2925900,45.90
2007-07-18,45.00,45.75,44.50,45.70,4076400,45.70
2007-07-17,46.77,47.08,45.76,45.99,3383000,45.99
2007-07-16,47.10,47.90,46.36,46.59,3873700,46.59
2007-07-13,47.82,48.18,46.70,47.10,3443300,47.10
2007-07-12,49.02,49.29,47.35,48.18,4698800,48.18
2007-07-11,48.41,49.22,47.05,48.58,5143200,48.58
2007-07-10,48.10,49.70,47.44,48.26,7793800,48.26
2007-07-09,45.99,48.08,45.55,47.88,9935400,47.88
2007-07-06,43.50,44.71,43.30,44.49,4406000,44.49
2007-07-05,41.75,43.43,41.55,43.24,4778500,43.24
2007-07-03,41.90,42.59,41.18,41.50,2302400,41.50
2007-07-02,43.15,44.15,41.52,41.84,5313500,41.84
2007-06-29,42.01,43.70,42.01,43.00,6181400,43.00
2007-06-28,42.78,43.09,40.41,41.26,10162800,41.26
2007-06-27,44.70,44.70,40.38,43.04,16189500,43.04
2007-06-26,46.61,46.82,45.08,45.25,5135900,45.25
2007-06-25,45.95,46.84,45.26,46.12,6327700,46.12
2007-06-22,46.56,47.24,46.23,46.91,11045500,46.91
2007-06-21,46.49,47.10,45.04,45.92,5959600,45.92
2007-06-20,46.25,47.40,45.69,46.09,7880900,46.09
2007-06-19,43.89,45.49,43.33,45.39,7263300,45.39
2007-06-18,45.58,45.74,43.85,44.33,7276200,44.33
2007-06-15,46.25,46.50,45.00,45.58,6009300,45.58
2007-06-14,90.70,91.20,88.80,90.88,8726000,45.44
2007-06-13,92.44,92.72,88.96,90.91,15544200,45.46
2007-06-12,90.98,93.58,90.37,91.18,18657200,45.59
2007-06-11,88.70,91.15,87.50,90.97,13430800,45.49
2007-06-08,87.19,87.19,83.70,86.56,10659400,43.28
2007-06-07,87.07,89.45,85.82,86.10,15776200,43.05
2007-06-06,84.65,85.50,83.63,85.20,5720400,42.60
2007-06-05,82.55,85.50,81.50,85.05,7737000,42.53
2007-06-04,81.55,82.35,80.02,82.17,3804200,41.08
2007-06-01,82.40,82.40,80.80,81.04,3437600,40.52
2007-05-31,81.64,82.25,80.14,81.45,4840200,40.72
2007-05-30,77.00,80.98,76.40,80.87,5953800,40.44
2007-05-29,78.07,78.90,76.79,77.71,3251800,38.85
2007-05-25,76.21,77.76,75.90,77.57,4249800,38.78
2007-05-24,78.10,78.51,75.25,75.44,5580800,37.72
2007-05-23,79.01,79.81,77.71,78.11,5420400,39.06
2007-05-22,77.23,78.17,76.05,77.74,4342000,38.87
